group;week;zscore
0to14;2018-50;0.9
0to14;2018-51;1.4
0to14;2018-52;-1.22
0to14;2019-01;1.75
0to14;2019-02;1.79
0to14;2019-03;1.84
0to14;2019-04;-0.09
0to14;2019-05;2.55
0to14;2019-06;1.82
0to14;2019-07;2.36
0to14;2019-08;2.02
0to14;2019-09;1.37
0to14;2019-10;0.67
0to14;2019-11;0.28
0to14;2019-12;-0.54
0to14;2019-13;-0.66
0to14;2019-14;0.57
0to14;2019-15;2
0to14;2019-16;-0.93
0to14;2019-17;0.21
0to14;2019-18;0.88
0to14;2019-19;-2.08
0to14;2019-20;-0.57
0to14;2019-21;0.48
0to14;2019-22;-1.25
0to14;2019-23;0.93
0to14;2019-24;-0.51
0to14;2019-25;0.07
0to14;2019-26;0.27
0to14;2019-27;-0.05
0to14;2019-28;1.17
0to14;2019-29;-1.12
0to14;2019-30;1.78
0to14;2019-31;2.55
0to14;2019-32;-0.77
0to14;2019-33;0.28
0to14;2019-34;1.75
0to14;2019-35;0.28
0to14;2019-36;-1.05
0to14;2019-37;-0.29
0to14;2019-38;1.48
0to14;2019-39;-1.1
0to14;2019-40;0.73
0to14;2019-41;-0.73
0to14;2019-42;-0.35
0to14;2019-43;0.81
0to14;2019-44;-1.94
0to14;2019-45;-0.13
0to14;2019-46;0.93
0to14;2019-47;0.69
0to14;2019-48;1.64
0to14;2019-49;2.08
0to14;2019-50;2.95
0to14;2019-51;1.44
0to14;2019-52;1.75
0to14;2020-01;-0.11
0to14;2020-02;0.58
0to14;2020-03;0.53
0to14;2020-04;1.7
0to14;2020-05;1.62
0to14;2020-06;0.74
0to14;2020-07;0.02
0to14;2020-08;0.94
0to14;2020-09;-0.41
0to14;2020-10;0.38
0to14;2020-11;0.9
0to14;2020-12;1.01
0to14;2020-13;1.39
0to14;2020-14;0.87
0to14;2020-15;0.24
0to14;2020-16;-0.81
0to14;2020-17;-0.65
0to14;2020-18;-0.78
0to14;2020-19;-0.38
0to14;2020-20;-0.27
0to14;2020-21;-0.35
0to14;2020-22;-0.52
0to14;2020-23;-0.08
0to14;2020-24;-1.25
0to14;2020-25;-0.52
0to14;2020-26;0.29
0to14;2020-27;-1.21
0to14;2020-28;-1.49
0to14;2020-29;-0.86
0to14;2020-30;1.88
0to14;2020-31;-0.09
0to14;2020-32;-1.52
0to14;2020-33;0.57
0to14;2020-34;-1.51
0to14;2020-35;-1.27
0to14;2020-36;-1.22
0to14;2020-37;0.1
