group;week;zscore
Total;2019-14;1.15
Total;2019-15;-0.86
Total;2019-16;1.45
Total;2019-17;1.07
Total;2019-18;-0.83
Total;2019-19;0.06
Total;2019-20;0.82
Total;2019-21;0.84
Total;2019-22;0.44
Total;2019-23;1.49
Total;2019-24;0.68
Total;2019-25;1.4
Total;2019-26;5.34
Total;2019-27;3.6
Total;2019-28;0.81
Total;2019-29;1.3
Total;2019-30;10.73
Total;2019-31;1.51
Total;2019-32;0.91
Total;2019-33;-1.38
Total;2019-34;0.27
Total;2019-35;3.23
Total;2019-36;-2.48
Total;2019-37;-1.14
Total;2019-38;-0.57
Total;2019-39;0.91
Total;2019-40;-0.02
Total;2019-41;1.97
Total;2019-42;0.96
Total;2019-43;0.48
Total;2019-44;0.35
Total;2019-45;0.76
Total;2019-46;1.83
Total;2019-47;2.39
Total;2019-48;1.44
Total;2019-49;2.14
Total;2019-50;3.26
Total;2019-51;4.47
Total;2019-52;1.21
Total;2020-01;4.33
Total;2020-02;6.81
Total;2020-03;4.74
Total;2020-04;3.07
Total;2020-05;5.55
Total;2020-06;2.17
Total;2020-07;2.79
Total;2020-08;-0.28
Total;2020-09;1.44
Total;2020-10;2.7
Total;2020-11;5.8
Total;2020-12;15.62
Total;2020-13;32.69
Total;2020-14;48.48
Total;2020-15;47.36
Total;2020-16;34.79
Total;2020-17;22.93
Total;2020-18;12.87
Total;2020-19;8.62
Total;2020-20;3.26
Total;2020-21;3.45
Total;2020-22;0.41
Total;2020-23;0.34
Total;2020-24;-1.04
Total;2020-25;-1.08
Total;2020-26;3.7
Total;2020-27;0.52
Total;2020-28;0.06
Total;2020-29;1.55
Total;2020-30;2.75
Total;2020-31;6.49
Total;2020-32;5.55
Total;2020-33;13.02
Total;2020-34;3.83
Total;2020-35;1.28
Total;2020-36;1.66
Total;2020-37;3.55
Total;2020-38;5.41
Total;2020-39;2.86
Total;2020-40;5.37
Total;2020-41;5.21
Total;2020-42;6.74
Total;2020-43;13.83
Total;2020-44;17.77
Total;2020-45;21.32
Total;2020-46;22.92
Total;2020-47;21.29
Total;2020-48;21.22
Total;2020-49;22.44
Total;2020-50;23.45
Total;2020-51;22.43
Total;2020-52;22.13
Total;2020-53;23.66
Total;2021-01;26.17
Total;2021-02;29.14
Total;2021-03;30.89
Total;2021-04;25.4
Total;2021-05;18.29
Total;2021-06;12.73
Total;2021-07;10.01
Total;2021-08;3.64
Total;2021-09;1.01
Total;2021-10;2.33
Total;2021-11;2.32
Total;2021-12;3.03
Total;2021-13;4.83
Total;2021-14;4.96
Total;2021-15;5.24
Total;2021-16;6
Total;2021-17;5.3
Total;2021-18;6.19
Total;2021-19;2.58
Total;2021-20;0.9
Total;2021-21;0.22
Total;2021-22;2.18
Total;2021-23;1.03
Total;2021-24;4.46
Total;2021-25;1.66
Total;2021-26;3.42
Total;2021-27;3.3
Total;2021-28;5.17
Total;2021-29;8.81
Total;2021-30;6.94
Total;2021-31;8.33
Total;2021-32;10.1
Total;2021-33;8.67
Total;2021-34;6.37
Total;2021-35;7.21
Total;2021-36;11.29
Total;2021-37;5.98
Total;2021-38;4.62
Total;2021-39;5.61
Total;2021-40;5.37
Total;2021-41;7.51
Total;2021-42;8.79
Total;2021-43;10.91
Total;2021-44;9.97
Total;2021-45;12.92
Total;2021-46;13.91
Total;2021-47;16.46
Total;2021-48;20.23
Total;2021-49;18.89
Total;2021-50;15.37
Total;2021-51;14.99
Total;2021-52;14.8
Total;2022-01;11.11
Total;2022-02;9.84
Total;2022-03;9.79
Total;2022-04;12.08
Total;2022-05;12.91
Total;2022-06;9.51
Total;2022-07;8.96
Total;2022-08;5
Total;2022-09;5.12
Total;2022-10;6.35
Total;2022-11;7.19
Total;2022-12;7.96
Total;2022-13;9.49
Total;2022-14;11.22
Total;2022-15;9.89
Total;2022-16;6.6
Total;2022-17;6.18
Total;2022-18;5.75
Total;2022-19;5.95
Total;2022-20;5.14
Total;2022-21;0.66
Total;2022-22;4.23
Total;2022-23;4.21
Total;2022-24;9.02
Total;2022-25;8.4
Total;2022-26;8.69
Total;2022-27;10.69
Total;2022-28;15.63
Total;2022-29;22.42
Total;2022-30;16.39
Total;2022-31;13.86
Total;2022-32;14.9
Total;2022-33;11.07
Total;2022-34;7.12
Total;2022-35;4.04
Total;2022-36;4.31
Total;2022-37;3.03
Total;2022-38;5.33
Total;2022-39;9.77
Total;2022-40;10.91
Total;2022-41;11.02
Total;2022-42;10.91
Total;2022-43;8.28
Total;2022-44;3.47
Total;2022-45;4.92
Total;2022-46;6.12
Total;2022-47;7.99
Total;2022-48;9.63
Total;2022-49;15.95
Total;2022-50;21.57
Total;2022-51;27.78
Total;2022-52;18.46
Total;2023-01;-2.69
0to14;2017-03;-0.25
0to14;2017-04;1.22
0to14;2017-05;1.92
0to14;2017-06;0.85
0to14;2017-07;-0.11
0to14;2017-08;0.48
0to14;2017-09;0.67
0to14;2017-10;1.61
0to14;2017-11;0.35
0to14;2017-12;-0.76
0to14;2017-13;-0.57
0to14;2017-14;0.17
0to14;2017-15;1.42
0to14;2017-16;0.33
0to14;2017-17;1.06
0to14;2017-18;2.12
0to14;2017-19;-1.36
0to14;2017-20;0.16
0to14;2017-21;-0.83
0to14;2017-22;0.27
0to14;2017-23;1.57
0to14;2017-24;2.36
0to14;2017-25;-1.02
0to14;2017-26;1.16
0to14;2017-27;1.39
0to14;2017-28;-0.3
0to14;2017-29;0.83
0to14;2017-30;-0.02
0to14;2017-31;-0.47
0to14;2017-32;-0.69
0to14;2017-33;0.49
0to14;2017-34;-1.56
0to14;2017-35;0.46
0to14;2017-36;-1.88
0to14;2017-37;-0.72
0to14;2017-38;0.24
0to14;2017-39;-0.57
0to14;2017-40;0.34
0to14;2017-41;-0.02
0to14;2017-42;0.03
0to14;2017-43;0.62
0to14;2017-44;-1.39
0to14;2017-45;-0.74
0to14;2017-46;0.99
0to14;2017-47;1.92
0to14;2017-48;-1
0to14;2017-49;0.69
0to14;2017-50;1.72
0to14;2017-51;0.3
0to14;2017-52;2.25
0to14;2018-01;0.31
0to14;2018-02;1.7
0to14;2018-03;-0.85
0to14;2018-04;-0.06
0to14;2018-05;-0.51
0to14;2018-06;0.59
0to14;2018-07;0.24
0to14;2018-08;-0.61
0to14;2018-09;0.95
0to14;2018-10;1
0to14;2018-11;0.61
0to14;2018-12;-0.01
0to14;2018-13;2.02
0to14;2018-14;0.29
0to14;2018-15;0.13
0to14;2018-16;0.86
0to14;2018-17;-0.72
0to14;2018-18;-1.08
0to14;2018-19;-0.7
0to14;2018-20;0.28
0to14;2018-21;-0.54
0to14;2018-22;-2.13
0to14;2018-23;1.22
0to14;2018-24;-0.04
0to14;2018-25;-0.59
0to14;2018-26;0.02
0to14;2018-27;1.74
0to14;2018-28;0.9
0to14;2018-29;0.95
0to14;2018-30;1
0to14;2018-31;-0.04
0to14;2018-32;1.6
0to14;2018-33;-0.63
0to14;2018-34;0.84
0to14;2018-35;-2.37
0to14;2018-36;-1.56
0to14;2018-37;1.75
0to14;2018-38;2.24
0to14;2018-39;-1.12
0to14;2018-40;0.27
0to14;2018-41;1.63
0to14;2018-42;1.36
0to14;2018-43;-1.3
0to14;2018-44;-0.87
0to14;2018-45;2
0to14;2018-46;1.29
0to14;2018-47;1.34
0to14;2018-48;0.71
0to14;2018-49;1.03
0to14;2018-50;0.9
0to14;2018-51;1.67
0to14;2018-52;-0.97
0to14;2019-01;1.81
0to14;2019-02;1.56
0to14;2019-03;1.61
0to14;2019-04;0.36
0to14;2019-05;2.56
0to14;2019-06;1.77
0to14;2019-07;2.41
0to14;2019-08;2.24
0to14;2019-09;1.54
0to14;2019-10;0.75
0to14;2019-11;0.58
0to14;2019-12;-0.42
0to14;2019-13;-0.55
0to14;2019-14;1.07
0to14;2019-15;2.07
0to14;2019-16;-0.28
0to14;2019-17;0.34
0to14;2019-18;0.53
0to14;2019-19;-1.42
0to14;2019-20;-1.07
0to14;2019-21;0.84
0to14;2019-22;-1.15
0to14;2019-23;0.99
0to14;2019-24;-0.24
0to14;2019-25;0.1
0to14;2019-26;0.29
0to14;2019-27;-0.17
0to14;2019-28;1.03
0to14;2019-29;-1.28
0to14;2019-30;1.27
0to14;2019-31;1.73
0to14;2019-32;-0.79
0to14;2019-33;0.42
0to14;2019-34;1.92
0to14;2019-35;0.48
0to14;2019-36;-0.87
0to14;2019-37;0.02
0to14;2019-38;1.57
0to14;2019-39;-0.91
0to14;2019-40;1.08
0to14;2019-41;-0.66
0to14;2019-42;-0.62
0to14;2019-43;0.73
0to14;2019-44;-1.51
0to14;2019-45;-0.14
0to14;2019-46;1.01
0to14;2019-47;0.6
0to14;2019-48;1.87
0to14;2019-49;1.83
0to14;2019-50;3.02
0to14;2019-51;1.93
0to14;2019-52;2.06
0to14;2020-01;-0.42
0to14;2020-02;0.78
0to14;2020-03;0.92
0to14;2020-04;1.83
0to14;2020-05;1.52
0to14;2020-06;1.13
0to14;2020-07;0.14
0to14;2020-08;0.84
0to14;2020-09;0.25
0to14;2020-10;0.72
0to14;2020-11;0.73
0to14;2020-12;0.1
0to14;2020-13;0.8
0to14;2020-14;-0.38
0to14;2020-15;0.19
0to14;2020-16;-0.87
0to14;2020-17;-0.63
0to14;2020-18;-1.18
0to14;2020-19;-1.03
0to14;2020-20;-0.41
0to14;2020-21;-0.77
0to14;2020-22;-1
0to14;2020-23;0.18
0to14;2020-24;-1.46
0to14;2020-25;-0.6
0to14;2020-26;0.29
0to14;2020-27;-1.24
0to14;2020-28;-1.28
0to14;2020-29;-0.8
0to14;2020-30;1.77
0to14;2020-31;-0.14
0to14;2020-32;-1.45
0to14;2020-33;-0.17
0to14;2020-34;-1.54
0to14;2020-35;-1.1
0to14;2020-36;-1.24
0to14;2020-37;-0.25
0to14;2020-38;0.35
0to14;2020-39;-0.02
0to14;2020-40;-1.71
0to14;2020-41;-0.2
0to14;2020-42;-2.97
0to14;2020-43;-0.61
0to14;2020-44;-2.13
0to14;2020-45;0.09
0to14;2020-46;-0.65
0to14;2020-47;-1.5
0to14;2020-48;-1.68
0to14;2020-49;-0.17
0to14;2020-50;-1.24
0to14;2020-51;-0.44
0to14;2020-52;-1.61
0to14;2020-53;-0.76
0to14;2021-01;-2.08
0to14;2021-02;-1.4
0to14;2021-03;-1.77
0to14;2021-04;0.02
0to14;2021-05;-1.14
0to14;2021-06;-0.19
0to14;2021-07;-1.02
0to14;2021-08;-1.91
0to14;2021-09;1.52
0to14;2021-10;-2.57
0to14;2021-11;-0.47
0to14;2021-12;-0.59
0to14;2021-13;0.39
0to14;2021-14;-1.95
0to14;2021-15;-0.75
0to14;2021-16;-1.07
0to14;2021-17;0.2
0to14;2021-18;-0.39
0to14;2021-19;0.67
0to14;2021-20;-0.28
0to14;2021-21;-0.69
0to14;2021-22;1.2
0to14;2021-23;0.21
0to14;2021-24;0.44
0to14;2021-25;0.59
0to14;2021-26;1
0to14;2021-27;0.92
0to14;2021-28;0.74
0to14;2021-29;1.06
0to14;2021-30;1.29
0to14;2021-31;0.57
0to14;2021-32;0.89
0to14;2021-33;-0.15
0to14;2021-34;-0.1
0to14;2021-35;-0.1
0to14;2021-36;0.41
0to14;2021-37;0.77
0to14;2021-38;1.36
0to14;2021-39;2.16
0to14;2021-40;0.87
0to14;2021-41;0.32
0to14;2021-42;2.07
0to14;2021-43;1.27
0to14;2021-44;1.14
0to14;2021-45;1.77
0to14;2021-46;2.25
0to14;2021-47;1.33
0to14;2021-48;3.38
0to14;2021-49;-0.94
0to14;2021-50;3
0to14;2021-51;0.98
0to14;2021-52;2.4
0to14;2022-01;0.41
0to14;2022-02;0.24
0to14;2022-03;-0.12
0to14;2022-04;-0.05
0to14;2022-05;1.76
0to14;2022-06;0.94
0to14;2022-07;0.98
0to14;2022-08;-0.24
0to14;2022-09;0.54
0to14;2022-10;1.87
0to14;2022-11;0.01
0to14;2022-12;-0.63
0to14;2022-13;1.09
0to14;2022-14;-0.42
0to14;2022-15;1.9
0to14;2022-16;-0.13
0to14;2022-17;-0.7
0to14;2022-18;-0.06
0to14;2022-19;2.59
0to14;2022-20;1.1
0to14;2022-21;0.34
0to14;2022-22;1.07
0to14;2022-23;-0.81
0to14;2022-24;3.77
0to14;2022-25;1.85
0to14;2022-26;0.92
0to14;2022-27;2.62
0to14;2022-28;0.31
0to14;2022-29;2.17
0to14;2022-30;1.26
0to14;2022-31;0.09
0to14;2022-32;1.35
0to14;2022-33;-0.12
0to14;2022-34;0.13
0to14;2022-35;0.23
0to14;2022-36;1.32
0to14;2022-37;2.19
0to14;2022-38;-0.72
0to14;2022-39;2.16
0to14;2022-40;0.96
0to14;2022-41;0.72
0to14;2022-42;-0.44
0to14;2022-43;0.82
0to14;2022-44;0.93
0to14;2022-45;2.88
0to14;2022-46;2.15
0to14;2022-47;0.76
0to14;2022-48;1.12
0to14;2022-49;5.62
0to14;2022-50;3.31
0to14;2022-51;2.66
0to14;2022-52;2.7
0to14;2023-01;-0.98
15to44;2017-03;0.85
15to44;2017-04;1.75
15to44;2017-05;0.7
15to44;2017-06;0.29
15to44;2017-07;1.38
15to44;2017-08;1.52
15to44;2017-09;-1.11
15to44;2017-10;-1.33
15to44;2017-11;-0.8
15to44;2017-12;-0.22
15to44;2017-13;-0.46
15to44;2017-14;-1.72
15to44;2017-15;-0.71
15to44;2017-16;-2.42
15to44;2017-17;0.15
15to44;2017-18;0.51
15to44;2017-19;1.18
15to44;2017-20;-0.55
15to44;2017-21;1.47
15to44;2017-22;-0.33
15to44;2017-23;-0.64
15to44;2017-24;1.09
15to44;2017-25;1.46
15to44;2017-26;-0.21
15to44;2017-27;0.91
15to44;2017-28;-0.17
15to44;2017-29;-0.48
15to44;2017-30;1.13
15to44;2017-31;1.58
15to44;2017-32;1.25
15to44;2017-33;-0.17
15to44;2017-34;0.6
15to44;2017-35;-0.39
15to44;2017-36;-0.2
15to44;2017-37;-2.24
15to44;2017-38;1.77
15to44;2017-39;0.67
15to44;2017-40;-0.19
15to44;2017-41;-0.76
15to44;2017-42;-0.14
15to44;2017-43;-0.14
15to44;2017-44;0.91
15to44;2017-45;-0.9
15to44;2017-46;-0.06
15to44;2017-47;0.13
15to44;2017-48;0.36
15to44;2017-49;1.56
15to44;2017-50;1.64
15to44;2017-51;0.74
15to44;2017-52;2.46
15to44;2018-01;3.79
15to44;2018-02;2.24
15to44;2018-03;0.75
15to44;2018-04;1.41
15to44;2018-05;-0.07
15to44;2018-06;2.58
15to44;2018-07;2.33
15to44;2018-08;-0.33
15to44;2018-09;3.4
15to44;2018-10;2.61
15to44;2018-11;1.53
15to44;2018-12;0.44
15to44;2018-13;0.55
15to44;2018-14;0.88
15to44;2018-15;0.47
15to44;2018-16;0.93
15to44;2018-17;-1.07
15to44;2018-18;1.51
15to44;2018-19;1.49
15to44;2018-20;0.24
15to44;2018-21;0.44
15to44;2018-22;-0.33
15to44;2018-23;1.11
15to44;2018-24;-1.05
15to44;2018-25;-1.01
15to44;2018-26;1.23
15to44;2018-27;1.1
15to44;2018-28;2.88
15to44;2018-29;1.11
15to44;2018-30;2.17
15to44;2018-31;4.02
15to44;2018-32;1.8
15to44;2018-33;0.81
15to44;2018-34;0.67
15to44;2018-35;0.12
15to44;2018-36;0.52
15to44;2018-37;0.16
15to44;2018-38;-0.25
15to44;2018-39;-0.25
15to44;2018-40;-0.33
15to44;2018-41;3.83
15to44;2018-42;-0.87
15to44;2018-43;-0.44
15to44;2018-44;0.16
15to44;2018-45;0.2
15to44;2018-46;-0.76
15to44;2018-47;-0.47
15to44;2018-48;-0.39
15to44;2018-49;0.72
15to44;2018-50;0.85
15to44;2018-51;1.32
15to44;2018-52;0.18
15to44;2019-01;3.03
15to44;2019-02;2.94
15to44;2019-03;1.86
15to44;2019-04;0.58
15to44;2019-05;1.27
15to44;2019-06;2.05
15to44;2019-07;1.6
15to44;2019-08;0.75
15to44;2019-09;-0.91
15to44;2019-10;1.25
15to44;2019-11;-0.93
15to44;2019-12;-0.8
15to44;2019-13;-0.9
15to44;2019-14;-0.39
15to44;2019-15;0.49
15to44;2019-16;-0.22
15to44;2019-17;-1.96
15to44;2019-18;-0.75
15to44;2019-19;-0.99
15to44;2019-20;-0.38
15to44;2019-21;-0.48
15to44;2019-22;-0.84
15to44;2019-23;0.72
15to44;2019-24;-1.37
15to44;2019-25;0.88
15to44;2019-26;2.65
15to44;2019-27;2.14
15to44;2019-28;-0.73
15to44;2019-29;-0.27
15to44;2019-30;2.26
15to44;2019-31;-0.3
15to44;2019-32;0.93
15to44;2019-33;0.15
15to44;2019-34;-0.37
15to44;2019-35;0.92
15to44;2019-36;-0.39
15to44;2019-37;0.6
15to44;2019-38;-0.08
15to44;2019-39;-1.02
15to44;2019-40;-0.3
15to44;2019-41;1.33
15to44;2019-42;-0.76
15to44;2019-43;1.68
15to44;2019-44;-0.2
15to44;2019-45;-0.02
15to44;2019-46;-0.08
15to44;2019-47;0.21
15to44;2019-48;-0.65
15to44;2019-49;0.35
15to44;2019-50;0.38
15to44;2019-51;0.08
15to44;2019-52;-0.01
15to44;2020-01;3.9
15to44;2020-02;1.97
15to44;2020-03;0.83
15to44;2020-04;-0.36
15to44;2020-05;2.96
15to44;2020-06;-0.51
15to44;2020-07;2.1
15to44;2020-08;0.37
15to44;2020-09;1.38
15to44;2020-10;1.78
15to44;2020-11;1.74
15to44;2020-12;0.97
15to44;2020-13;3.54
15to44;2020-14;3.47
15to44;2020-15;4.73
15to44;2020-16;2.15
15to44;2020-17;1.11
15to44;2020-18;-0.82
15to44;2020-19;-1
15to44;2020-20;2.15
15to44;2020-21;-0.31
15to44;2020-22;1.64
15to44;2020-23;-0.3
15to44;2020-24;1.19
15to44;2020-25;1.06
15to44;2020-26;0.98
15to44;2020-27;0.74
15to44;2020-28;-0.17
15to44;2020-29;0.76
15to44;2020-30;0.47
15to44;2020-31;2.89
15to44;2020-32;3.03
15to44;2020-33;4.36
15to44;2020-34;1.75
15to44;2020-35;0.72
15to44;2020-36;1.68
15to44;2020-37;2.56
15to44;2020-38;2.17
15to44;2020-39;0.75
15to44;2020-40;0.61
15to44;2020-41;2.43
15to44;2020-42;-0.54
15to44;2020-43;3.54
15to44;2020-44;1.55
15to44;2020-45;0.62
15to44;2020-46;0.4
15to44;2020-47;1.91
15to44;2020-48;0.7
15to44;2020-49;4.67
15to44;2020-50;3.68
15to44;2020-51;1.89
15to44;2020-52;1.32
15to44;2020-53;4.02
15to44;2021-01;2.45
15to44;2021-02;2.6
15to44;2021-03;3.61
15to44;2021-04;3.43
15to44;2021-05;3.07
15to44;2021-06;0.26
15to44;2021-07;0.51
15to44;2021-08;-0.01
15to44;2021-09;0.48
15to44;2021-10;0.73
15to44;2021-11;1.05
15to44;2021-12;0.81
15to44;2021-13;2.89
15to44;2021-14;2.25
15to44;2021-15;2.32
15to44;2021-16;2.28
15to44;2021-17;1.03
15to44;2021-18;2.98
15to44;2021-19;-0.21
15to44;2021-20;0.16
15to44;2021-21;0.67
15to44;2021-22;1.44
15to44;2021-23;0.61
15to44;2021-24;3.6
15to44;2021-25;2.08
15to44;2021-26;1.38
15to44;2021-27;2.7
15to44;2021-28;4.01
15to44;2021-29;4.73
15to44;2021-30;3.2
15to44;2021-31;1.98
15to44;2021-32;3.79
15to44;2021-33;2.7
15to44;2021-34;1.93
15to44;2021-35;2.43
15to44;2021-36;4.88
15to44;2021-37;3.81
15to44;2021-38;3.32
15to44;2021-39;2.48
15to44;2021-40;2.27
15to44;2021-41;1.53
15to44;2021-42;3.48
15to44;2021-43;1.27
15to44;2021-44;0.93
15to44;2021-45;4.36
15to44;2021-46;3.68
15to44;2021-47;5.65
15to44;2021-48;6.13
15to44;2021-49;4.56
15to44;2021-50;3.86
15to44;2021-51;3.82
15to44;2021-52;5.48
15to44;2022-01;4.45
15to44;2022-02;2.48
15to44;2022-03;2.42
15to44;2022-04;2.1
15to44;2022-05;2.5
15to44;2022-06;1.59
15to44;2022-07;2.85
15to44;2022-08;2.22
15to44;2022-09;1.61
15to44;2022-10;1.79
15to44;2022-11;2.64
15to44;2022-12;1.51
15to44;2022-13;0.62
15to44;2022-14;1.55
15to44;2022-15;0.59
15to44;2022-16;-0.05
15to44;2022-17;1.76
15to44;2022-18;2.49
15to44;2022-19;1.7
15to44;2022-20;2.04
15to44;2022-21;1.17
15to44;2022-22;-0.1
15to44;2022-23;3.15
15to44;2022-24;2.89
15to44;2022-25;2.27
15to44;2022-26;1.68
15to44;2022-27;4.85
15to44;2022-28;3.55
15to44;2022-29;3.73
15to44;2022-30;3.94
15to44;2022-31;3.26
15to44;2022-32;4.74
15to44;2022-33;2.25
15to44;2022-34;1.83
15to44;2022-35;2.03
15to44;2022-36;2.47
15to44;2022-37;0.01
15to44;2022-38;1.55
15to44;2022-39;0.3
15to44;2022-40;1.59
15to44;2022-41;3.04
15to44;2022-42;1.88
15to44;2022-43;1.2
15to44;2022-44;1.35
15to44;2022-45;0.91
15to44;2022-46;1.66
15to44;2022-47;3.04
15to44;2022-48;3.53
15to44;2022-49;3.65
15to44;2022-50;4.14
15to44;2022-51;3.67
15to44;2022-52;5.35
15to44;2023-01;-1.52
45to64;2017-03;6.26
45to64;2017-04;4.98
45to64;2017-05;6.77
45to64;2017-06;5.1
45to64;2017-07;3.43
45to64;2017-08;2.33
45to64;2017-09;1.62
45to64;2017-10;0.42
45to64;2017-11;-0.33
45to64;2017-12;0.15
45to64;2017-13;-0.43
45to64;2017-14;-0.84
45to64;2017-15;-0.19
45to64;2017-16;-1.41
45to64;2017-17;1.83
45to64;2017-18;0.58
45to64;2017-19;1.82
45to64;2017-20;-0.15
45to64;2017-21;1.11
45to64;2017-22;-1.1
45to64;2017-23;-0.64
45to64;2017-24;0.65
45to64;2017-25;3.65
45to64;2017-26;-1.44
45to64;2017-27;-0.2
45to64;2017-28;1.34
45to64;2017-29;1.32
45to64;2017-30;-0.84
45to64;2017-31;2.87
45to64;2017-32;0
45to64;2017-33;-2.05
45to64;2017-34;-0.72
45to64;2017-35;-0.03
45to64;2017-36;-1.26
45to64;2017-37;-0.88
45to64;2017-38;0.09
45to64;2017-39;0.81
45to64;2017-40;1.7
45to64;2017-41;0.67
45to64;2017-42;0.54
45to64;2017-43;-0.54
45to64;2017-44;-0.43
45to64;2017-45;1.02
45to64;2017-46;3.09
45to64;2017-47;1.37
45to64;2017-48;2.38
45to64;2017-49;2.7
45to64;2017-50;4.47
45to64;2017-51;4.82
45to64;2017-52;7.81
45to64;2018-01;8.97
45to64;2018-02;5.71
45to64;2018-03;6.1
45to64;2018-04;4.26
45to64;2018-05;5.01
45to64;2018-06;4.28
45to64;2018-07;7.25
45to64;2018-08;9.44
45to64;2018-09;11.83
45to64;2018-10;11.32
45to64;2018-11;8.37
45to64;2018-12;6.42
45to64;2018-13;3.11
45to64;2018-14;5.34
45to64;2018-15;4.25
45to64;2018-16;1.2
45to64;2018-17;-0.26
45to64;2018-18;-0.36
45to64;2018-19;-1.28
45to64;2018-20;0.24
45to64;2018-21;-0.09
45to64;2018-22;-0.25
45to64;2018-23;0.18
45to64;2018-24;-0.18
45to64;2018-25;0.17
45to64;2018-26;1.47
45to64;2018-27;0.85
45to64;2018-28;-0.19
45to64;2018-29;1.27
45to64;2018-30;3.05
45to64;2018-31;4.83
45to64;2018-32;2.66
45to64;2018-33;-0.53
45to64;2018-34;-1.02
45to64;2018-35;-0.37
45to64;2018-36;0.14
45to64;2018-37;-1.25
45to64;2018-38;-0.18
45to64;2018-39;0.52
45to64;2018-40;1.45
45to64;2018-41;-0.59
45to64;2018-42;-1.37
45to64;2018-43;-0.53
45to64;2018-44;0.36
45to64;2018-45;0.61
45to64;2018-46;0.37
45to64;2018-47;0.12
45to64;2018-48;1.39
45to64;2018-49;1.51
45to64;2018-50;1.16
45to64;2018-51;4.33
45to64;2018-52;2.02
45to64;2019-01;5.68
45to64;2019-02;5.54
45to64;2019-03;4.78
45to64;2019-04;6.52
45to64;2019-05;7.69
45to64;2019-06;6.13
45to64;2019-07;6.46
45to64;2019-08;3.62
45to64;2019-09;5.31
45to64;2019-10;3.82
45to64;2019-11;0.79
45to64;2019-12;0.37
45to64;2019-13;-0.99
45to64;2019-14;-0.09
45to64;2019-15;-1.41
45to64;2019-16;0.55
45to64;2019-17;0.68
45to64;2019-18;-1.53
45to64;2019-19;-1.22
45to64;2019-20;-0.41
45to64;2019-21;-1.12
45to64;2019-22;-0.4
45to64;2019-23;0.02
45to64;2019-24;0.28
45to64;2019-25;1.21
45to64;2019-26;2.08
45to64;2019-27;2.98
45to64;2019-28;-1.9
45to64;2019-29;1.75
45to64;2019-30;2.1
45to64;2019-31;-0.33
45to64;2019-32;-1.47
45to64;2019-33;-3.57
45to64;2019-34;-1.98
45to64;2019-35;0.46
45to64;2019-36;-1.44
45to64;2019-37;-1.84
45to64;2019-38;0.05
45to64;2019-39;0.99
45to64;2019-40;-0.29
