group;week;zscore
Total;2020-20;2.02
Total;2020-21;2.22
Total;2020-22;-0.47
Total;2020-23;-0.6
Total;2020-24;-2.06
Total;2020-25;-2
Total;2020-26;2.63
Total;2020-27;-0.3
Total;2020-28;-0.84
Total;2020-29;0.47
Total;2020-30;1.71
Total;2020-31;5.4
Total;2020-32;4.31
Total;2020-33;11.62
Total;2020-34;2.8
Total;2020-35;0.33
Total;2020-36;0.66
Total;2020-37;2.54
Total;2020-38;4.35
Total;2020-39;1.89
Total;2020-40;4.32
Total;2020-41;4.29
Total;2020-42;5.74
Total;2020-43;12.47
Total;2020-44;15.97
Total;2020-45;19.98
Total;2020-46;21.39
Total;2020-47;19.87
Total;2020-48;19.89
Total;2020-49;20.87
Total;2020-50;21.8
Total;2020-51;20.71
Total;2020-52;20.32
Total;2020-53;21.94
Total;2021-01;24.43
Total;2021-02;27.39
Total;2021-03;29.2
Total;2021-04;23.99
Total;2021-05;17.47
Total;2021-06;11.98
Total;2021-07;9.44
Total;2021-08;3.44
Total;2021-09;1.08
Total;2021-10;2.15
Total;2021-11;2.17
Total;2021-12;2.84
Total;2021-13;4.55
Total;2021-14;4.53
Total;2021-15;4.64
Total;2021-16;5.4
Total;2021-17;4.73
Total;2021-18;5.45
Total;2021-19;1.88
Total;2021-20;0.19
Total;2021-21;-0.4
Total;2021-22;1.33
Total;2021-23;0.38
Total;2021-24;3.9
Total;2021-25;1.26
Total;2021-26;2.61
Total;2021-27;2.23
Total;2021-28;3.9
Total;2021-29;7.49
Total;2021-30;5.48
Total;2021-31;7.04
Total;2021-32;8.71
Total;2021-33;7.2
Total;2021-34;5.04
Total;2021-35;5.81
Total;2021-36;9.74
Total;2021-37;4.62
Total;2021-38;3.24
Total;2021-39;4.27
Total;2021-40;4.15
Total;2021-41;6.25
Total;2021-42;7.58
Total;2021-43;9.61
Total;2021-44;8.66
Total;2021-45;11.59
Total;2021-46;12.61
Total;2021-47;15.13
Total;2021-48;18.72
Total;2021-49;17.6
Total;2021-50;14.43
Total;2021-51;13.84
Total;2021-52;13.63
Total;2022-01;10.1
Total;2022-02;9.14
Total;2022-03;9.1
Total;2022-04;11.19
Total;2022-05;11.9
Total;2022-06;8.67
Total;2022-07;7.97
Total;2022-08;4.2
Total;2022-09;4.41
Total;2022-10;5.64
Total;2022-11;6.41
Total;2022-12;7.12
Total;2022-13;8.53
Total;2022-14;10.1
Total;2022-15;8.85
Total;2022-16;5.67
Total;2022-17;5.22
Total;2022-18;4.78
Total;2022-19;5
Total;2022-20;3.92
Total;2022-21;-0.31
Total;2022-22;2.98
Total;2022-23;2.98
Total;2022-24;7.42
Total;2022-25;6.73
Total;2022-26;7.09
Total;2022-27;9.04
Total;2022-28;13.83
Total;2022-29;20.16
Total;2022-30;14.62
Total;2022-31;12.02
Total;2022-32;12.89
Total;2022-33;9.19
Total;2022-34;5.44
Total;2022-35;2.65
Total;2022-36;2.92
Total;2022-37;1.57
Total;2022-38;3.71
Total;2022-39;7.99
Total;2022-40;9.07
Total;2022-41;9.35
Total;2022-42;9.35
Total;2022-43;6.96
Total;2022-44;2.6
Total;2022-45;4.15
Total;2022-46;5.11
Total;2022-47;6.94
Total;2022-48;8.77
Total;2022-49;14.66
Total;2022-50;20.31
Total;2022-51;27.02
Total;2022-52;24.54
Total;2023-01;19.4
Total;2023-02;12.27
Total;2023-03;7.29
Total;2023-04;4.92
Total;2023-05;5.35
Total;2023-06;4.33
Total;2023-07;4.89
Total;2023-08;3.99
Total;2023-09;3.84
Total;2023-10;6.96
Total;2023-11;5.04
Total;2023-12;2.95
Total;2023-13;1.71
Total;2023-14;0.24
Total;2023-15;1.4
Total;2023-16;2.04
Total;2023-17;0.98
Total;2023-18;0.1
Total;2023-19;-0.95
Total;2023-20;-1.42
Total;2023-21;0.12
Total;2023-22;-0.85
Total;2023-23;1.55
Total;2023-24;1.29
Total;2023-25;1.06
Total;2023-26;-2.14
Total;2023-27;-0.86
Total;2023-28;1.1
Total;2023-29;0.38
Total;2023-30;0.68
Total;2023-31;-1.29
Total;2023-32;1.58
Total;2023-33;2.86
Total;2023-34;4.25
Total;2023-35;-1.27
Total;2023-36;2.24
Total;2023-37;-0.52
Total;2023-38;-2.48
Total;2023-39;-1.27
Total;2023-40;0.74
Total;2023-41;-0.1
Total;2023-42;2.09
Total;2023-43;3.59
Total;2023-44;1.98
Total;2023-45;2.13
Total;2023-46;2.87
Total;2023-47;2.99
Total;2023-48;5.28
Total;2023-49;6.43
Total;2023-50;1.01
0to14;2017-52;2.58
0to14;2018-01;0.42
0to14;2018-02;1.61
0to14;2018-03;-0.79
0to14;2018-04;-0.17
0to14;2018-05;-0.26
0to14;2018-06;0.49
0to14;2018-07;0.27
0to14;2018-08;-0.43
0to14;2018-09;1.15
0to14;2018-10;0.8
0to14;2018-11;0.74
0to14;2018-12;-0.03
0to14;2018-13;2.2
0to14;2018-14;0.21
0to14;2018-15;0.16
0to14;2018-16;1
0to14;2018-17;-0.87
0to14;2018-18;-0.86
0to14;2018-19;-0.67
0to14;2018-20;0.04
0to14;2018-21;-0.84
0to14;2018-22;-2.39
0to14;2018-23;1.26
0to14;2018-24;-0.04
0to14;2018-25;-0.84
0to14;2018-26;-0.17
0to14;2018-27;1.22
0to14;2018-28;0.68
0to14;2018-29;0.87
0to14;2018-30;0.87
0to14;2018-31;-0.05
0to14;2018-32;1.44
0to14;2018-33;-0.55
0to14;2018-34;0.86
0to14;2018-35;-2.77
0to14;2018-36;-1.82
0to14;2018-37;1.8
0to14;2018-38;2.04
0to14;2018-39;-0.83
0to14;2018-40;0.36
0to14;2018-41;1.43
0to14;2018-42;1.44
0to14;2018-43;-1.32
0to14;2018-44;-1.12
0to14;2018-45;1.92
0to14;2018-46;1.43
0to14;2018-47;1.26
0to14;2018-48;0.85
0to14;2018-49;0.72
0to14;2018-50;0.64
0to14;2018-51;1.48
0to14;2018-52;-0.9
0to14;2019-01;1.77
0to14;2019-02;1.5
0to14;2019-03;1.82
0to14;2019-04;0.31
0to14;2019-05;2.43
0to14;2019-06;1.66
0to14;2019-07;2.53
0to14;2019-08;2.31
0to14;2019-09;1.5
0to14;2019-10;0.72
0to14;2019-11;0.68
0to14;2019-12;-0.69
0to14;2019-13;-0.78
0to14;2019-14;1.29
0to14;2019-15;1.98
0to14;2019-16;-0.58
0to14;2019-17;0.09
0to14;2019-18;0.47
0to14;2019-19;-1.87
0to14;2019-20;-1.09
0to14;2019-21;0.76
0to14;2019-22;-1.33
0to14;2019-23;0.95
0to14;2019-24;-0.45
0to14;2019-25;-0.02
0to14;2019-26;0.17
0to14;2019-27;-0.3
0to14;2019-28;0.88
0to14;2019-29;-1.34
0to14;2019-30;0.94
0to14;2019-31;1.46
0to14;2019-32;-1.13
0to14;2019-33;0.31
0to14;2019-34;1.98
0to14;2019-35;0.28
0to14;2019-36;-1.39
0to14;2019-37;-0.08
0to14;2019-38;1.47
0to14;2019-39;-0.92
0to14;2019-40;1.07
0to14;2019-41;-0.43
0to14;2019-42;-0.8
0to14;2019-43;0.68
0to14;2019-44;-1.85
0to14;2019-45;-0.2
0to14;2019-46;1.03
0to14;2019-47;0.48
0to14;2019-48;1.97
0to14;2019-49;1.84
0to14;2019-50;3.07
0to14;2019-51;1.76
0to14;2019-52;2.23
0to14;2020-01;-0.41
0to14;2020-02;0.63
0to14;2020-03;0.78
0to14;2020-04;1.52
0to14;2020-05;1.44
0to14;2020-06;1.03
0to14;2020-07;0.1
0to14;2020-08;0.99
0to14;2020-09;0.11
0to14;2020-10;0.63
0to14;2020-11;0.64
0to14;2020-12;-0.07
0to14;2020-13;0.64
0to14;2020-14;-0.77
0to14;2020-15;-0.15
0to14;2020-16;-1.2
0to14;2020-17;-0.76
0to14;2020-18;-1.49
0to14;2020-19;-1.34
0to14;2020-20;-0.66
0to14;2020-21;-1.04
0to14;2020-22;-1.18
0to14;2020-23;-0.26
0to14;2020-24;-1.71
0to14;2020-25;-0.93
0to14;2020-26;0.03
0to14;2020-27;-1.69
0to14;2020-28;-1.54
0to14;2020-29;-1
0to14;2020-30;1.27
0to14;2020-31;-0.56
0to14;2020-32;-1.56
0to14;2020-33;-0.54
0to14;2020-34;-1.7
0to14;2020-35;-1.44
0to14;2020-36;-1.58
0to14;2020-37;-0.42
0to14;2020-38;0.3
0to14;2020-39;0.12
0to14;2020-40;-1.74
0to14;2020-41;-0.57
0to14;2020-42;-3.37
0to14;2020-43;-0.75
0to14;2020-44;-2.05
0to14;2020-45;-0.06
0to14;2020-46;-0.91
0to14;2020-47;-1.58
0to14;2020-48;-1.77
0to14;2020-49;0.07
0to14;2020-50;-1.26
0to14;2020-51;-0.72
0to14;2020-52;-1.68
0to14;2020-53;-0.8
0to14;2021-01;-2.06
0to14;2021-02;-1.9
0to14;2021-03;-2.05
0to14;2021-04;-0.01
0to14;2021-05;-1.59
0to14;2021-06;-0.1
0to14;2021-07;-0.66
0to14;2021-08;-2.26
0to14;2021-09;1.68
0to14;2021-10;-2.55
0to14;2021-11;-0.17
0to14;2021-12;-0.59
0to14;2021-13;0.35
0to14;2021-14;-2.24
0to14;2021-15;-0.49
0to14;2021-16;-1.25
0to14;2021-17;0.04
0to14;2021-18;-0.43
0to14;2021-19;0.79
0to14;2021-20;-0.66
0to14;2021-21;-0.42
0to14;2021-22;0.99
0to14;2021-23;-0.03
0to14;2021-24;0.25
0to14;2021-25;0.54
0to14;2021-26;1.23
0to14;2021-27;0.08
0to14;2021-28;0.88
0to14;2021-29;0.79
0to14;2021-30;1.39
0to14;2021-31;0.52
0to14;2021-32;0.99
0to14;2021-33;-0.45
0to14;2021-34;-0.11
0to14;2021-35;-0.11
0to14;2021-36;0.42
0to14;2021-37;0.89
0to14;2021-38;0.99
0to14;2021-39;2
0to14;2021-40;0.82
0to14;2021-41;0.04
0to14;2021-42;1.98
0to14;2021-43;1.31
0to14;2021-44;1.09
0to14;2021-45;1.6
0to14;2021-46;2.15
0to14;2021-47;1.15
0to14;2021-48;3.23
0to14;2021-49;-1.13
0to14;2021-50;2.58
0to14;2021-51;0.95
0to14;2021-52;2.5
0to14;2022-01;0.23
0to14;2022-02;0.47
0to14;2022-03;0.47
0to14;2022-04;-0.08
0to14;2022-05;1.94
0to14;2022-06;0.58
0to14;2022-07;0.58
0to14;2022-08;-0.25
0to14;2022-09;0.59
0to14;2022-10;1.56
0to14;2022-11;-0.14
0to14;2022-12;-0.42
0to14;2022-13;1.16
0to14;2022-14;-0.56
0to14;2022-15;1.93
0to14;2022-16;-0.27
0to14;2022-17;-1.22
0to14;2022-18;0.3
0to14;2022-19;2.79
0to14;2022-20;0.95
0to14;2022-21;-0.11
0to14;2022-22;0.91
0to14;2022-23;-1
0to14;2022-24;3.33
0to14;2022-25;1.74
0to14;2022-26;0.47
0to14;2022-27;2.59
0to14;2022-28;0.2
0to14;2022-29;1.8
0to14;2022-30;0.94
0to14;2022-31;0.49
0to14;2022-32;0.86
0to14;2022-33;-0.29
0to14;2022-34;0.09
0to14;2022-35;0.05
0to14;2022-36;1.34
0to14;2022-37;2.51
0to14;2022-38;-1
0to14;2022-39;1.82
0to14;2022-40;1.15
0to14;2022-41;0.79
0to14;2022-42;0.16
0to14;2022-43;1.4
0to14;2022-44;1.22
0to14;2022-45;2.48
0to14;2022-46;2.22
0to14;2022-47;0.88
0to14;2022-48;1.84
0to14;2022-49;5.42
0to14;2022-50;3.86
0to14;2022-51;3.35
0to14;2022-52;4.74
0to14;2023-01;1.09
0to14;2023-02;0.5
0to14;2023-03;-0.33
0to14;2023-04;1.9
0to14;2023-05;0.88
0to14;2023-06;3.42
0to14;2023-07;1.75
0to14;2023-08;2.28
0to14;2023-09;1.43
0to14;2023-10;2.24
0to14;2023-11;2.23
0to14;2023-12;0.19
0to14;2023-13;0.82
0to14;2023-14;0.58
0to14;2023-15;0.47
0to14;2023-16;1.6
0to14;2023-17;-0.65
0to14;2023-18;-1.71
0to14;2023-19;0.78
0to14;2023-20;1.16
0to14;2023-21;0.7
0to14;2023-22;0.81
0to14;2023-23;0.34
0to14;2023-24;0.33
0to14;2023-25;-0.03
0to14;2023-26;0.81
0to14;2023-27;0.49
0to14;2023-28;-0.24
0to14;2023-29;0.92
0to14;2023-30;0.04
0to14;2023-31;-0.38
0to14;2023-32;0.24
0to14;2023-33;-0.65
0to14;2023-34;0.04
0to14;2023-35;-0.98
0to14;2023-36;0.91
0to14;2023-37;0.36
0to14;2023-38;2.36
0to14;2023-39;1.45
0to14;2023-40;0.92
0to14;2023-41;0.59
0to14;2023-42;1.67
0to14;2023-43;0.6
0to14;2023-44;1.12
0to14;2023-45;-0.16
0to14;2023-46;0.16
0to14;2023-47;-0.13
0to14;2023-48;2.2
0to14;2023-49;4.44
0to14;2023-50;2.03
15to44;2017-52;1.83
15to44;2018-01;2.67
15to44;2018-02;1.65
15to44;2018-03;0.77
15to44;2018-04;1.29
15to44;2018-05;0.16
15to44;2018-06;1.88
15to44;2018-07;1.84
15to44;2018-08;-0.05
15to44;2018-09;2.49
15to44;2018-10;1.86
15to44;2018-11;1.3
15to44;2018-12;0.36
15to44;2018-13;0.5
15to44;2018-14;0.76
15to44;2018-15;0.42
15to44;2018-16;0.9
15to44;2018-17;-0.87
15to44;2018-18;1.15
15to44;2018-19;1.17
15to44;2018-20;0.19
15to44;2018-21;0.4
15to44;2018-22;-0.38
15to44;2018-23;0.56
15to44;2018-24;-0.84
15to44;2018-25;-0.73
15to44;2018-26;0.87
15to44;2018-27;0.51
15to44;2018-28;1.92
15to44;2018-29;0.78
15to44;2018-30;1.14
15to44;2018-31;2.63
15to44;2018-32;1.31
15to44;2018-33;0.3
15to44;2018-34;0.3
15to44;2018-35;-0.09
15to44;2018-36;0.14
15to44;2018-37;0.05
15to44;2018-38;-0.36
15to44;2018-39;-0.33
15to44;2018-40;-0.34
15to44;2018-41;2.36
15to44;2018-42;-0.64
15to44;2018-43;-0.36
15to44;2018-44;0.05
15to44;2018-45;0
15to44;2018-46;-0.62
15to44;2018-47;-0.34
15to44;2018-48;-0.37
15to44;2018-49;0.26
15to44;2018-50;0.6
15to44;2018-51;0.71
15to44;2018-52;0.07
15to44;2019-01;1.88
15to44;2019-02;1.95
15to44;2019-03;1.14
15to44;2019-04;0.54
15to44;2019-05;0.72
15to44;2019-06;1.28
15to44;2019-07;1.19
15to44;2019-08;0.42
15to44;2019-09;-0.53
15to44;2019-10;0.92
15to44;2019-11;-0.43
15to44;2019-12;-0.53
15to44;2019-13;-0.55
15to44;2019-14;-0.08
15to44;2019-15;0.49
15to44;2019-16;-0.24
15to44;2019-17;-1.48
15to44;2019-18;-0.45
15to44;2019-19;-0.65
15to44;2019-20;-0.37
15to44;2019-21;-0.3
15to44;2019-22;-0.82
15to44;2019-23;0.62
15to44;2019-24;-1.26
15to44;2019-25;0.29
15to44;2019-26;1.64
15to44;2019-27;1.38
15to44;2019-28;-0.85
15to44;2019-29;-0.44
15to44;2019-30;1.26
15to44;2019-31;-0.34
15to44;2019-32;0.36
15to44;2019-33;-0.31
15to44;2019-34;-0.53
15to44;2019-35;0.46
15to44;2019-36;-0.35
15to44;2019-37;0.16
15to44;2019-38;-0.32
15to44;2019-39;-0.86
15to44;2019-40;-0.45
15to44;2019-41;0.37
15to44;2019-42;-0.77
15to44;2019-43;0.59
15to44;2019-44;-0.6
15to44;2019-45;-0.38
15to44;2019-46;-0.41
15to44;2019-47;-0.24
15to44;2019-48;-0.66
15to44;2019-49;-0.05
15to44;2019-50;-0.04
15to44;2019-51;-0.18
15to44;2019-52;-0.23
15to44;2020-01;1.99
15to44;2020-02;0.87
15to44;2020-03;0.39
15to44;2020-04;-0.3
15to44;2020-05;1.66
15to44;2020-06;-0.33
15to44;2020-07;1.15
15to44;2020-08;0.28
15to44;2020-09;0.75
15to44;2020-10;0.79
15to44;2020-11;1.18
15to44;2020-12;0.5
15to44;2020-13;2.24
15to44;2020-14;2.21
15to44;2020-15;2.93
15to44;2020-16;1.31
15to44;2020-17;0.55
15to44;2020-18;-0.82
15to44;2020-19;-0.82
15to44;2020-20;1.23
15to44;2020-21;-0.41
15to44;2020-22;1.02
15to44;2020-23;-0.5
15to44;2020-24;0.72
15to44;2020-25;0.25
15to44;2020-26;0.33
15to44;2020-27;0.16
15to44;2020-28;-0.53
15to44;2020-29;0.29
15to44;2020-30;0.08
15to44;2020-31;1.67
15to44;2020-32;1.58
15to44;2020-33;2.53
15to44;2020-34;0.79
15to44;2020-35;0.02
15to44;2020-36;0.58
15to44;2020-37;1.15
15to44;2020-38;0.88
15to44;2020-39;0.1
15to44;2020-40;-0.05
15to44;2020-41;0.87
15to44;2020-42;-0.53
15to44;2020-43;1.64
15to44;2020-44;0.49
15to44;2020-45;0
15to44;2020-46;-0.21
15to44;2020-47;0.55
15to44;2020-48;0.1
15to44;2020-49;2.22
15to44;2020-50;1.69
15to44;2020-51;0.84
15to44;2020-52;0.42
15to44;2020-53;1.78
15to44;2021-01;1.09
15to44;2021-02;1.31
15to44;2021-03;1.79
15to44;2021-04;1.59
15to44;2021-05;1.56
15to44;2021-06;-0.04
15to44;2021-07;0.5
15to44;2021-08;-0.15
15to44;2021-09;0.45
15to44;2021-10;0.45
15to44;2021-11;0.61
15to44;2021-12;0.73
15to44;2021-13;1.78
15to44;2021-14;1.54
15to44;2021-15;1.41
15to44;2021-16;1.87
15to44;2021-17;0.57
15to44;2021-18;1.82
15to44;2021-19;-0.25
15to44;2021-20;0.22
15to44;2021-21;0.57
15to44;2021-22;0.76
15to44;2021-23;0.25
15to44;2021-24;2.35
15to44;2021-25;1.34
15to44;2021-26;1.04
15to44;2021-27;1.41
15to44;2021-28;2.4
15to44;2021-29;2.87
15to44;2021-30;1.9
15to44;2021-31;1.12
15to44;2021-32;2.16
15to44;2021-33;1.55
15to44;2021-34;1.01
15to44;2021-35;1.19
15to44;2021-36;2.71
15to44;2021-37;1.97
15to44;2021-38;1.44
15to44;2021-39;1.06
15to44;2021-40;1.12
15to44;2021-41;0.55
15to44;2021-42;1.66
15to44;2021-43;0.5
15to44;2021-44;0.36
15to44;2021-45;1.94
15to44;2021-46;1.59
15to44;2021-47;2.72
15to44;2021-48;2.82
15to44;2021-49;2.17
15to44;2021-50;1.87
15to44;2021-51;1.8
15to44;2021-52;2.56
15to44;2022-01;2
15to44;2022-02;1.14
15to44;2022-03;0.89
15to44;2022-04;0.84
15to44;2022-05;0.95
15to44;2022-06;0.62
15to44;2022-07;1.17
15to44;2022-08;0.91
15to44;2022-09;0.75
15to44;2022-10;0.83
15to44;2022-11;1.27
15to44;2022-12;0.62
15to44;2022-13;0.25
15to44;2022-14;0.83
15to44;2022-15;-0.09
15to44;2022-16;-0.22
15to44;2022-17;0.74
15to44;2022-18;1.41
15to44;2022-19;0.71
15to44;2022-20;0.95
15to44;2022-21;0.4
15to44;2022-22;-0.42
15to44;2022-23;1.73
15to44;2022-24;1.59
15to44;2022-25;0.84
15to44;2022-26;0.41
15to44;2022-27;2.24
15to44;2022-28;2
15to44;2022-29;1.7
15to44;2022-30;1.89
15to44;2022-31;1.49
15to44;2022-32;2.35
15to44;2022-33;0.66
15to44;2022-34;0.39
15to44;2022-35;0.57
15to44;2022-36;0.54
15to44;2022-37;-0.34
15to44;2022-38;0.04
15to44;2022-39;-0.6
15to44;2022-40;-0.19
15to44;2022-41;0.69
15to44;2022-42;0.09
15to44;2022-43;-0.47
15to44;2022-44;-0.15
15to44;2022-45;-0.19
15to44;2022-46;-0.26
15to44;2022-47;0.52
15to44;2022-48;0.67
15to44;2022-49;0.9
15to44;2022-50;1.01
15to44;2022-51;1.77
15to44;2022-52;2.68
15to44;2023-01;1.1
15to44;2023-02;0.61
15to44;2023-03;0.27
15to44;2023-04;0.03
15to44;2023-05;0.88
15to44;2023-06;0.54
15to44;2023-07;0.86
15to44;2023-08;0.25
15to44;2023-09;1.13
15to44;2023-10;1.22
15to44;2023-11;1.34
15to44;2023-12;0.87
15to44;2023-13;-0.27
15to44;2023-14;0.72
15to44;2023-15;1.02
15to44;2023-16;-0.7
15to44;2023-17;0.77
15to44;2023-18;0.31
15to44;2023-19;0.22
15to44;2023-20;0.57
15to44;2023-21;0.08
15to44;2023-22;0.67
15to44;2023-23;0.59
15to44;2023-24;1.48
15to44;2023-25;1.03
15to44;2023-26;-0.18
15to44;2023-27;1.16
15to44;2023-28;0.62
15to44;2023-29;0.47
15to44;2023-30;0.38
15to44;2023-31;0.24
15to44;2023-32;0.79
15to44;2023-33;0.47
15to44;2023-34;0.95
15to44;2023-35;0.63
15to44;2023-36;0.34
15to44;2023-37;0.23
15to44;2023-38;-0.58
15to44;2023-39;0.16
15to44;2023-40;7.64
15to44;2023-41;0.51
15to44;2023-42;-0.52
15to44;2023-43;-0.15
15to44;2023-44;-0.26
15to44;2023-45;-0.07
15to44;2023-46;-0.77
15to44;2023-47;0.08
15to44;2023-48;0.17
15to44;2023-49;0.17
15to44;2023-50;-0.44
45to64;2017-52;7.99
45to64;2018-01;9.26
45to64;2018-02;5.92
45to64;2018-03;6.5
45to64;2018-04;4.59
45to64;2018-05;5.32
45to64;2018-06;4.61
45to64;2018-07;7.4
45to64;2018-08;9.68
45to64;2018-09;11.8
45to64;2018-10;11.33
45to64;2018-11;8.35
45to64;2018-12;6.51
45to64;2018-13;3.11
45to64;2018-14;5.28
45to64;2018-15;4.15
45to64;2018-16;1.46
45to64;2018-17;-0.26
45to64;2018-18;-0.48
45to64;2018-19;-1.49
45to64;2018-20;0.15
45to64;2018-21;-0.15
45to64;2018-22;-0.04
45to64;2018-23;0.2
45to64;2018-24;-0.2
45to64;2018-25;0.01
45to64;2018-26;1.15
45to64;2018-27;0.58
45to64;2018-28;-0.46
45to64;2018-29;0.92
45to64;2018-30;2.59
45to64;2018-31;4.58
45to64;2018-32;2.45
45to64;2018-33;-0.69
45to64;2018-34;-1.13
45to64;2018-35;-0.61
45to64;2018-36;0.06
45to64;2018-37;-1.41
45to64;2018-38;-0.53
45to64;2018-39;0.28
45to64;2018-40;1.34
45to64;2018-41;-0.83
45to64;2018-42;-1.39
45to64;2018-43;-0.8
45to64;2018-44;0.1
45to64;2018-45;0.65
45to64;2018-46;0.64
45to64;2018-47;0.28
45to64;2018-48;1.37
45to64;2018-49;1.47
45to64;2018-50;1.38
45to64;2018-51;4.32
45to64;2018-52;2.27
45to64;2019-01;5.55
45to64;2019-02;5.67
45to64;2019-03;4.93
45to64;2019-04;6.79
45to64;2019-05;7.9
45to64;2019-06;6.3
45to64;2019-07;6.65
45to64;2019-08;3.82
45to64;2019-09;5.58
45to64;2019-10;4.16
45to64;2019-11;0.91
45to64;2019-12;0.47
45to64;2019-13;-0.93
45to64;2019-14;-0.18
45to64;2019-15;-1.23
45to64;2019-16;0.31
45to64;2019-17;0.62
45to64;2019-18;-1.8
45to64;2019-19;-1.38
45to64;2019-20;-0.4
45to64;2019-21;-1.22
45to64;2019-22;-0.5
45to64;2019-23;-0.19
45to64;2019-24;0.04
45to64;2019-25;1.1
45to64;2019-26;1.86
45to64;2019-27;2.78
45to64;2019-28;-1.9
45to64;2019-29;1.69
45to64;2019-30;1.89
45to64;2019-31;-0.51
45to64;2019-32;-1.84
45to64;2019-33;-3.7
45to64;2019-34;-2.21
45to64;2019-35;0.1
45to64;2019-36;-1.56
45to64;2019-37;-2.25
45to64;2019-38;-0.06
45to64;2019-39;0.59
45to64;2019-40;-0.46
45to64;2019-41;0.48
45to64;2019-42;-0.69
45to64;2019-43;-1.27
45to64;2019-44;-0.32
45to64;2019-45;1.89
45to64;2019-46;0.67
45to64;2019-47;0.09
45to64;2019-48;0.82
45to64;2019-49;3.18
45to64;2019-50;2.45
45to64;2019-51;4.06
45to64;2019-52;1.17
45to64;2020-01;3.79
45to64;2020-02;4.4
45to64;2020-03;4.27
45to64;2020-04;1.94
45to64;2020-05;4.11
45to64;2020-06;2.8
45to64;2020-07;2.05
45to64;2020-08;1.09
45to64;2020-09;1.7
45to64;2020-10;2.35
45to64;2020-11;4.3
45to64;2020-12;9.25
45to64;2020-13;15.81
45to64;2020-14;22.27
45to64;2020-15;19.51
45to64;2020-16;12.47
45to64;2020-17;8.2
45to64;2020-18;3.47
45to64;2020-19;4
45to64;2020-20;1.95
45to64;2020-21;2.5
45to64;2020-22;2.4
45to64;2020-23;0.03
45to64;2020-24;0.63
45to64;2020-25;-1.65
45to64;2020-26;1.74
45to64;2020-27;0.41
45to64;2020-28;0.13
45to64;2020-29;0.2
45to64;2020-30;1.21
45to64;2020-31;3.03
45to64;2020-32;2.2
45to64;2020-33;6.76
45to64;2020-34;0.2
45to64;2020-35;-0.63
45to64;2020-36;0.54
45to64;2020-37;1.62
45to64;2020-38;2.87
