Variante;Datum;Anteil [%];Gruppenzuordnung
XBB.1.9;2022-12-14;0.006;XBB.x
XBB.1.9;2022-12-21;0.0;XBB.x
XBB.1.9;2022-12-28;0.0;XBB.x
XBB.1.9;2023-01-04;0.0;XBB.x
XBB.1.9;2023-01-11;0.001;XBB.x
XBB.1.9;2023-01-18;0.0;XBB.x
XBB.1.9;2023-01-25;0.0;XBB.x
XBB.1.9;2023-02-01;0.0;XBB.x
XBB.1.9;2023-02-08;0.011;XBB.x
XBB.1.9;2023-02-15;0.029;XBB.x
XBB.1.9;2023-02-22;0.007;XBB.x
XBB.1.9;2023-03-01;0.057;XBB.x
XBB.1.9;2023-03-08;0.02;XBB.x
XBB.1.9;2023-03-15;0.074;XBB.x
XBB.1.9;2023-03-22;0.003;XBB.x
XBB.1.9;2023-03-29;0.002;XBB.x
XBB.1.9;2023-04-05;0.007;XBB.x
XBB.1.9;2023-04-12;0.03;XBB.x
XBB.1.9;2023-04-19;0.04;XBB.x
XBB.1.9;2023-04-26;0.021;XBB.x
XBB.1.9;2023-05-03;0.022;XBB.x
XBB.1.9;2023-05-10;0.005;XBB.x
XBB.1.9;2023-05-17;0.014;XBB.x
XBB.1.9;2023-05-24;0.074;XBB.x
XBB.1.9;2023-05-31;0.006;XBB.x
XBB.1.9;2023-06-07;0.074;XBB.x
XBB.1.9;2023-06-14;0.096;XBB.x
XBB.1.9;2023-06-21;0.069;XBB.x
XBB.1.9;2023-06-28;0.011;XBB.x
XBB.1.9;2023-07-05;0.055;XBB.x
XBB.1.9;2023-07-12;0.082;XBB.x
XBB.1.9;2023-07-19;0.043;XBB.x
XBB.1.9;2023-07-26;0.059;XBB.x
XBB.1.9;2023-08-02;0.038;XBB.x
XBB.1.9;2023-08-09;0.026;XBB.x
XBB.1.9;2023-08-16;0.022;XBB.x
XBB.1.9;2023-08-23;0.03;XBB.x
XBB.1.9;2023-08-30;0.038;XBB.x
XBB.1.9;2023-09-06;0.019;XBB.x
XBB.1.9;2023-09-13;0.012;XBB.x
XBB.1.9;2023-09-20;0.024;XBB.x
XBB.1.9;2023-09-27;0.019;XBB.x
XBB.1.9;2023-10-04;0.053;XBB.x
XBB.1.9;2023-10-11;0.015;XBB.x
XBB.1.9;2023-10-18;0.022;XBB.x
XBB.1.9;2023-10-25;0.018;XBB.x
XBB.1.9;2023-11-01;0.002;XBB.x
XBB.1.9;2023-11-08;0.0;XBB.x
XBB.1.9;2023-11-15;0.001;XBB.x
XBB.1.9;2023-11-22;0.0;XBB.x
XBB.1.9;2023-11-29;0.0;XBB.x
XBB.1.9;2023-12-06;0.0;XBB.x
XBB.1.9;2023-12-13;0.0;XBB.x
XBB.1.9;2023-12-20;0.0;XBB.x
XBB.1.9;2023-12-27;0.0;XBB.x
XBB.1.9;2024-01-03;0.0;XBB.x
XBB.1.9;2024-01-10;0.0;XBB.x
XBB.1.9;2024-01-17;0.0;XBB.x
XBB.1.9;2024-01-24;0.003;XBB.x
XBB.1.9;2024-01-31;0.006;XBB.x
XBB.1.9;2024-02-07;0.001;XBB.x
XBB.1.9;2024-02-14;0.0;XBB.x
XBB.1.9;2024-02-21;0.0;XBB.x
XBB.1.9;2024-02-28;0.0;XBB.x
XBB.1.9;2024-03-06;0.0;XBB.x
XBB.1.9;2024-03-13;0.0;XBB.x
XBB.1.9;2024-03-20;0.0;XBB.x
XBB.1.9;2024-03-27;0.0;XBB.x
XBB.1.9;2024-04-03;0.0;XBB.x
XBB.1.9;2024-04-10;0.0;XBB.x
XBB.1.9;2024-04-17;0.0;XBB.x
XBB.1.5;2022-09-21;0.0;XBB.x
XBB.1.5;2022-09-28;0.0;XBB.x
XBB.1.5;2022-10-05;0.0;XBB.x
XBB.1.5;2022-10-12;0.0;XBB.x
XBB.1.5;2022-10-19;0.0;XBB.x
XBB.1.5;2022-10-26;0.0;XBB.x
XBB.1.5;2022-11-02;0.005;XBB.x
XBB.1.5;2022-11-09;0.0;XBB.x
XBB.1.5;2022-11-16;0.001;XBB.x
XBB.1.5;2022-11-23;0.0;XBB.x
XBB.1.5;2022-11-30;0.0;XBB.x
XBB.1.5;2022-12-07;0.011;XBB.x
XBB.1.5;2022-12-14;0.002;XBB.x
XBB.1.5;2022-12-21;0.021;XBB.x
XBB.1.5;2022-12-28;0.015;XBB.x
XBB.1.5;2023-01-04;0.04;XBB.x
XBB.1.5;2023-01-11;0.087;XBB.x
XBB.1.5;2023-01-18;0.135;XBB.x
XBB.1.5;2023-01-25;0.158;XBB.x
XBB.1.5;2023-02-01;0.279;XBB.x
XBB.1.5;2023-02-08;0.32;XBB.x
XBB.1.5;2023-02-15;0.383;XBB.x
XBB.1.5;2023-02-22;0.463;XBB.x
XBB.1.5;2023-03-01;0.496;XBB.x
XBB.1.5;2023-03-08;0.557;XBB.x
XBB.1.5;2023-03-15;0.564;XBB.x
XBB.1.5;2023-03-22;0.627;XBB.x
XBB.1.5;2023-03-29;0.651;XBB.x
XBB.1.5;2023-04-05;0.665;XBB.x
XBB.1.5;2023-04-12;0.6;XBB.x
XBB.1.5;2023-04-19;0.525;XBB.x
XBB.1.5;2023-04-26;0.514;XBB.x
XBB.1.5;2023-05-03;0.506;XBB.x
XBB.1.5;2023-05-10;0.494;XBB.x
XBB.1.5;2023-05-17;0.401;XBB.x
XBB.1.5;2023-05-24;0.443;XBB.x
XBB.1.5;2023-05-31;0.353;XBB.x
XBB.1.5;2023-06-07;0.269;XBB.x
XBB.1.5;2023-06-14;0.284;XBB.x
XBB.1.5;2023-06-21;0.282;XBB.x
XBB.1.5;2023-06-28;0.086;XBB.x
XBB.1.5;2023-07-05;0.152;XBB.x
XBB.1.5;2023-07-12;0.078;XBB.x
XBB.1.5;2023-07-19;0.047;XBB.x
XBB.1.5;2023-07-26;0.111;XBB.x
XBB.1.5;2023-08-02;0.181;XBB.x
XBB.1.5;2023-08-09;0.084;XBB.x
XBB.1.5;2023-08-16;0.069;XBB.x
XBB.1.5;2023-08-23;0.102;XBB.x
XBB.1.5;2023-08-30;0.139;XBB.x
XBB.1.5;2023-09-06;0.105;XBB.x
XBB.1.5;2023-09-13;0.084;XBB.x
XBB.1.5;2023-09-20;0.071;XBB.x
XBB.1.5;2023-09-27;0.093;XBB.x
XBB.1.5;2023-10-04;0.077;XBB.x
XBB.1.5;2023-10-11;0.088;XBB.x
XBB.1.5;2023-10-18;0.086;XBB.x
XBB.1.5;2023-10-25;0.111;XBB.x
XBB.1.5;2023-11-01;0.109;XBB.x
XBB.1.5;2023-11-08;0.127;XBB.x
XBB.1.5;2023-11-15;0.098;XBB.x
XBB.1.5;2023-11-22;0.089;XBB.x
XBB.1.5;2023-11-29;0.107;XBB.x
XBB.1.5;2023-12-06;0.098;XBB.x
XBB.1.5;2023-12-13;0.087;XBB.x
XBB.1.5;2023-12-20;0.065;XBB.x
XBB.1.5;2023-12-27;0.019;XBB.x
XBB.1.5;2024-01-03;0.019;XBB.x
XBB.1.5;2024-01-10;0.013;XBB.x
XBB.1.5;2024-01-17;0.006;XBB.x
XBB.1.5;2024-01-24;0.005;XBB.x
XBB.1.5;2024-01-31;0.005;XBB.x
XBB.1.5;2024-02-07;0.001;XBB.x
XBB.1.5;2024-02-14;0.0;XBB.x
XBB.1.5;2024-02-21;0.0;XBB.x
XBB.1.5;2024-02-28;0.0;XBB.x
XBB.1.5;2024-03-06;0.0;XBB.x
XBB.1.5;2024-03-13;0.0;XBB.x
XBB.1.5;2024-03-20;0.01;XBB.x
XBB.1.5;2024-03-27;0.0;XBB.x
XBB.1.5;2024-04-03;0.004;XBB.x
XBB.1.5;2024-04-10;0.0;XBB.x
XBB.1.5;2024-04-17;0.0;XBB.x
XBB.1.16;2022-09-21;0.0;XBB.x
XBB.1.16;2022-09-28;0.0;XBB.x
XBB.1.16;2022-10-05;0.0;XBB.x
XBB.1.16;2022-10-12;0.0;XBB.x
XBB.1.16;2022-10-19;0.0;XBB.x
XBB.1.16;2022-10-26;0.0;XBB.x
XBB.1.16;2022-11-02;0.0;XBB.x
XBB.1.16;2022-11-09;0.0;XBB.x
XBB.1.16;2022-11-16;0.0;XBB.x
XBB.1.16;2022-11-23;0.0;XBB.x
XBB.1.16;2022-11-30;0.0;XBB.x
XBB.1.16;2022-12-07;0.0;XBB.x
XBB.1.16;2022-12-14;0.0;XBB.x
XBB.1.16;2022-12-21;0.0;XBB.x
XBB.1.16;2022-12-28;0.0;XBB.x
XBB.1.16;2023-01-04;0.0;XBB.x
XBB.1.16;2023-01-11;0.0;XBB.x
XBB.1.16;2023-01-18;0.0;XBB.x
XBB.1.16;2023-01-25;0.0;XBB.x
XBB.1.16;2023-02-01;0.001;XBB.x
XBB.1.16;2023-02-08;0.001;XBB.x
XBB.1.16;2023-02-15;0.001;XBB.x
XBB.1.16;2023-02-22;0.001;XBB.x
XBB.1.16;2023-03-01;0.001;XBB.x
XBB.1.16;2023-03-08;0.021;XBB.x
XBB.1.16;2023-03-15;0.013;XBB.x
XBB.1.16;2023-03-22;0.011;XBB.x
XBB.1.16;2023-03-29;0.061;XBB.x
XBB.1.16;2023-04-05;0.043;XBB.x
XBB.1.16;2023-04-12;0.065;XBB.x
XBB.1.16;2023-04-19;0.086;XBB.x
XBB.1.16;2023-04-26;0.085;XBB.x
XBB.1.16;2023-05-03;0.13;XBB.x
XBB.1.16;2023-05-10;0.134;XBB.x
XBB.1.16;2023-05-17;0.169;XBB.x
XBB.1.16;2023-05-24;0.154;XBB.x
XBB.1.16;2023-05-31;0.227;XBB.x
XBB.1.16;2023-06-07;0.246;XBB.x
XBB.1.16;2023-06-14;0.203;XBB.x
