Datum;gemittelte kumulierte Faelle der letzten 7 Tage aus den Humantestungen;Gesamtvirenfracht [Genkopien pro Tag * 10^6]
2023-06-18;683;89008000
2023-06-19;684;97520000
2023-06-20;668;105536000
2023-06-21;701;104320000
2023-06-22;648;101248000
2023-06-23;602;
2023-06-24;640;
2023-06-25;624;93104000
2023-06-26;573;83104000
2023-06-27;549;73264000
2023-06-28;467;72352000
2023-06-29;501;72736000
2023-07-02;;73968000
2023-07-03;;83632000
2023-07-04;;95824000
2023-07-05;;96368000
2023-07-06;;93408000
2023-07-09;;84528000
2023-07-10;;78480000
2023-07-11;;76016000
2023-07-12;;79280000
2023-07-13;;79360000
2023-07-16;;79584000
2023-07-17;;86224000
2023-07-18;;93872000
2023-07-19;;101984000
2023-07-20;;109776000
2023-07-23;;132944000
2023-07-24;;125312000
2023-07-25;;115600000
2023-07-26;;139872000
2023-07-27;;164704000
2023-07-30;;239184000
2023-07-31;;224672000
2023-08-01;;214896000
2023-08-02;;228736000
2023-08-03;;240496000
2023-08-06;;276416000
2023-08-07;;309360000
2023-08-08;;354784000
2023-08-09;;364192000
2023-08-10;;352784000
2023-08-13;;318992000
2023-08-15;;464176000
2023-08-16;;448592000
2023-08-17;;435616000
2023-08-20;;396288000
2023-08-21;;405568000
2023-08-22;;416304000
2023-08-23;;426096000
2023-08-24;;430464000
2023-08-27;;444832000
2023-08-28;;504832000
2023-08-29;;578688000
2023-08-30;;584128000
2023-08-31;;576192000
2023-09-03;;555968000
2023-09-04;;560080000
2023-09-05;;561248000
2023-09-06;;566448000
2023-09-07;;571472000
2023-09-10;;592320000
2023-09-11;;652256000
2023-09-12;;742736000
2023-09-13;;760336000
2023-09-14;;727616000
2023-09-17;;637200000
2023-09-18;;721648000
2023-09-19;;839136000
2023-09-20;;812560000
2023-09-21;;761664000
2023-09-24;;609584000
2023-09-25;;656512000
2023-09-26;;712832000
2023-09-27;;738608000
2023-09-28;;751328000
2023-10-01;;790656000
2023-10-02;;854400000
2023-10-03;;944416000
2023-10-04;;955712000
2023-10-05;;918608000
2023-10-08;;808192000
2023-10-09;;914336000
2023-10-10;;1046416000
2023-10-11;;1068512000
2023-10-12;;1068864000
2023-10-15;;1067936000
2023-10-16;;1085008000
2023-10-17;;1126544000
2023-10-18;;1143040000
2023-10-19;;1150624000
2023-10-22;;1169008000
2023-10-23;;1110288000
2023-10-24;;1057632000
2023-10-26;;1159392000
2023-10-29;;1296912000
2023-10-30;;1278896000
2023-10-31;;1271872000
2023-11-01;;1249632000
2023-11-02;;1184848000
2023-11-05;;1445312000
2023-11-06;;1471936000
2023-11-07;;1478576000
2023-11-08;;1606736000
2023-11-09;;1748144000
2023-11-12;;2175312000
2023-11-13;;2313312000
2023-11-14;;2479632000
2023-11-15;;2441424000
2023-11-16;;2392224000
2023-11-19;;2246800000
2023-11-20;;2512448000
2023-11-21;;2856736000
2023-11-22;;3081360000
2023-11-23;;3185280000
2023-11-26;;3498304000
2023-11-27;;3641696000
2023-11-28;;3866000000
2023-11-29;;4036720000
2023-11-30;;4122800000
2023-12-03;;4386560000
2023-12-04;;4780736000
2023-12-05;;5245728000
2023-12-06;;5240224000
2023-12-10;;5208208000
2023-12-11;;5465760000
2023-12-12;;5788432000
2023-12-13;;5499664000
2023-12-14;;5117280000
2023-12-17;;3964128000
2023-12-18;;4216368000
2023-12-19;;4529952000
2023-12-20;;4468352000
2023-12-24;;3760864000
2023-12-26;;2706480000
2023-12-27;;2539552000
2023-12-31;;1872432000
2024-01-01;;1982208000
2024-01-02;;2119472000
2024-01-03;;1934464000
2024-01-07;;1237104000
2024-01-08;;1227424000
2024-01-09;;1226720000
2024-01-10;;1171056000
2024-01-11;;1117744000
2024-01-14;;958800000
2024-01-15;;946384000
