KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
42. KW 2023;V;N;24;0;0;0;38;59
42. KW 2023;W;I;2;0;0;2;9;13
42. KW 2023;W;N;111;1;0;1;157;257
43. KW 2023;BGL;I;2;0;0;0;1;3
43. KW 2023;BGL;N;25;0;0;1;31;52
43. KW 2023;KTN;I;1;0;0;0;6;7
43. KW 2023;KTN;N;62;0;0;1;96;154
43. KW 2023;NÖ;I;4;0;0;0;6;10
43. KW 2023;NÖ;N;165;1;1;4;156;312
43. KW 2023;OÖ;I;7;0;0;0;9;16
43. KW 2023;OÖ;N;139;0;2;5;156;289
43. KW 2023;SBG;I;2;0;0;0;5;7
43. KW 2023;SBG;N;52;2;0;1;63;110
43. KW 2023;ST;I;9;0;1;0;5;15
43. KW 2023;ST;N;104;0;0;3;151;250
43. KW 2023;T;I;6;0;0;0;8;12
43. KW 2023;T;N;106;1;0;2;98;193
43. KW 2023;V;I;1;0;0;0;2;2
43. KW 2023;V;N;33;1;1;7;50;91
43. KW 2023;W;I;10;0;0;1;14;25
43. KW 2023;W;N;119;1;1;5;181;290
44. KW 2023;BGL;I;3;0;0;0;0;3
44. KW 2023;BGL;N;32;0;0;0;34;60
44. KW 2023;KTN;I;0;0;0;0;4;4
44. KW 2023;KTN;N;80;0;0;3;91;164
44. KW 2023;NÖ;I;10;0;0;1;10;15
44. KW 2023;NÖ;N;190;0;0;3;142;317
44. KW 2023;OÖ;I;4;0;0;0;11;14
44. KW 2023;OÖ;N;180;1;0;1;173;339
44. KW 2023;SBG;I;1;0;0;1;4;4
44. KW 2023;SBG;N;48;0;2;1;49;96
44. KW 2023;ST;I;5;0;0;0;12;17
44. KW 2023;ST;N;154;0;1;4;158;303
44. KW 2023;T;I;5;0;0;0;4;8
44. KW 2023;T;N;74;2;0;5;93;166
44. KW 2023;V;I;2;0;0;1;7;8
44. KW 2023;V;N;32;0;2;3;63;98
44. KW 2023;W;I;5;0;0;0;8;13
44. KW 2023;W;N;107;1;2;1;146;241
45. KW 2023;BGL;I;2;0;0;1;1;3
45. KW 2023;BGL;N;43;1;0;1;26;69
45. KW 2023;KTN;I;1;0;0;1;1;3
45. KW 2023;KTN;N;69;0;0;3;94;160
45. KW 2023;NÖ;I;7;0;0;0;6;12
45. KW 2023;NÖ;N;183;3;0;1;157;321
45. KW 2023;OÖ;I;7;0;0;1;7;15
45. KW 2023;OÖ;N;160;1;1;7;184;338
45. KW 2023;SBG;I;3;0;0;0;7;10
45. KW 2023;SBG;N;52;0;0;2;59;111
45. KW 2023;ST;I;9;0;0;0;10;19
45. KW 2023;ST;N;143;3;3;5;138;281
45. KW 2023;T;I;5;0;0;1;9;14
45. KW 2023;T;N;88;0;0;5;84;169
45. KW 2023;V;I;2;0;0;0;2;4
45. KW 2023;V;N;29;1;0;5;51;80
45. KW 2023;W;I;7;0;0;1;8;15
45. KW 2023;W;N;116;2;0;2;138;244
46. KW 2023;BGL;I;2;0;0;0;1;2
46. KW 2023;BGL;N;55;0;0;0;44;93
46. KW 2023;KTN;I;2;0;0;0;2;4
46. KW 2023;KTN;N;106;0;0;1;84;182
46. KW 2023;NÖ;I;3;0;0;0;6;9
46. KW 2023;NÖ;N;229;2;0;2;146;344
46. KW 2023;OÖ;I;10;0;0;0;8;16
46. KW 2023;OÖ;N;212;1;0;4;160;361
46. KW 2023;SBG;I;1;0;1;0;2;4
46. KW 2023;SBG;N;73;0;1;2;49;118
46. KW 2023;ST;I;8;0;0;2;10;20
46. KW 2023;ST;N;187;7;4;3;179;360
46. KW 2023;T;I;3;0;0;1;7;9
46. KW 2023;T;N;90;0;3;9;93;189
46. KW 2023;V;I;2;0;0;0;3;5
46. KW 2023;V;N;37;0;1;3;44;80
46. KW 2023;W;I;8;0;0;0;16;23
46. KW 2023;W;N;150;3;3;3;173;316
47. KW 2023;BGL;I;4;0;0;0;3;5
47. KW 2023;BGL;N;65;0;0;2;42;105
47. KW 2023;KTN;I;0;0;0;0;6;6
47. KW 2023;KTN;N;133;1;0;6;80;203
47. KW 2023;NÖ;I;8;0;0;0;4;12
47. KW 2023;NÖ;N;229;2;2;1;158;370
47. KW 2023;OÖ;I;7;0;0;0;9;14
47. KW 2023;OÖ;N;250;0;3;3;192;429
47. KW 2023;SBG;I;1;0;0;1;6;8
47. KW 2023;SBG;N;76;0;3;0;87;148
47. KW 2023;ST;I;13;2;1;0;15;27
47. KW 2023;ST;N;233;9;2;1;182;415
47. KW 2023;T;I;1;0;0;0;7;8
47. KW 2023;T;N;105;1;3;2;84;185
47. KW 2023;V;I;1;0;0;1;4;6
47. KW 2023;V;N;44;2;3;4;53;99
47. KW 2023;W;I;14;0;0;1;8;22
47. KW 2023;W;N;172;5;3;3;148;313
48. KW 2023;BGL;I;2;0;0;0;4;6
48. KW 2023;BGL;N;66;1;1;0;35;97
48. KW 2023;KTN;I;4;0;1;0;6;9
48. KW 2023;KTN;N;104;2;1;4;66;166
48. KW 2023;NÖ;I;13;0;0;1;9;20
48. KW 2023;NÖ;N;222;12;5;3;151;364
48. KW 2023;OÖ;I;12;0;0;2;14;26
48. KW 2023;OÖ;N;278;4;5;2;169;433
48. KW 2023;SBG;I;8;0;2;1;7;17
48. KW 2023;SBG;N;92;1;0;0;72;150
48. KW 2023;ST;I;10;0;0;0;5;14
48. KW 2023;ST;N;252;10;3;1;209;449
48. KW 2023;T;I;4;0;0;1;12;15
48. KW 2023;T;N;115;0;2;1;128;231
48. KW 2023;V;I;4;0;0;0;3;5
48. KW 2023;V;N;53;1;9;9;47;110
48. KW 2023;W;I;15;1;0;2;13;30
48. KW 2023;W;N;216;11;7;2;169;382
49. KW 2023;BGL;I;0;0;0;0;3;3
49. KW 2023;BGL;N;90;0;1;1;39;118
