JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;35;KTN;I;0;0;1;0;3;4
2023;35;KTN;N;17;0;0;0;48;65
2023;35;NÖ;I;1;0;0;0;7;8
2023;35;NÖ;N;37;0;0;1;109;143
2023;35;OÖ;I;2;0;0;0;9;11
2023;35;OÖ;N;35;0;1;1;125;154
2023;35;SBG;I;0;0;0;0;3;3
2023;35;SBG;N;15;0;1;0;55;68
2023;35;ST;I;4;0;0;0;9;12
2023;35;ST;N;32;1;0;1;125;157
2023;35;T;I;0;0;0;0;4;4
2023;35;T;N;19;0;0;2;73;92
2023;35;V;I;0;0;0;0;1;1
2023;35;V;N;9;0;0;0;27;34
2023;35;W;I;4;0;0;0;11;15
2023;35;W;N;45;0;0;1;119;159
2023;36;BGL;I;0;0;0;0;3;3
2023;36;BGL;N;8;0;0;0;30;36
2023;36;KTN;I;1;0;0;0;3;4
2023;36;KTN;N;32;0;0;1;72;100
2023;36;NÖ;I;2;0;0;0;5;6
2023;36;NÖ;N;57;1;0;1;113;167
2023;36;OÖ;I;3;0;0;0;4;7
2023;36;OÖ;N;52;0;2;0;132;183
2023;36;SBG;I;1;0;0;1;7;9
2023;36;SBG;N;18;0;0;0;55;70
2023;36;ST;I;1;0;0;1;4;6
2023;36;ST;N;33;0;1;1;133;164
2023;36;T;I;0;0;0;0;8;8
2023;36;T;N;26;0;1;2;78;104
2023;36;V;I;0;0;0;0;0;0
2023;36;V;N;11;0;0;1;30;41
2023;36;W;I;2;0;0;0;6;8
2023;36;W;N;55;0;0;2;143;195
2023;37;BGL;I;2;0;0;0;3;5
2023;37;BGL;N;14;0;0;0;27;39
2023;37;KTN;I;0;0;0;0;3;3
2023;37;KTN;N;30;0;0;0;100;129
2023;37;NÖ;I;2;0;0;0;1;3
2023;37;NÖ;N;53;1;0;0;133;183
2023;37;OÖ;I;3;0;0;0;9;12
2023;37;OÖ;N;44;0;1;2;149;195
2023;37;SBG;I;1;0;0;0;5;5
2023;37;SBG;N;20;0;0;0;58;76
2023;37;ST;I;2;0;0;0;10;11
2023;37;ST;N;43;0;0;1;148;190
2023;37;T;I;1;0;0;1;7;9
2023;37;T;N;28;1;0;2;65;92
2023;37;V;I;1;0;0;0;5;6
2023;37;V;N;6;1;1;4;44;54
2023;37;W;I;3;0;0;0;13;16
2023;37;W;N;75;2;0;1;170;239
